farmer_id,name,state,district,practice,land_area_hectares,total_credits_kg,available_credits_kg,price_per_kg,certified,verification_status
FRM0001,Farmer 1,Tamil Nadu,District_29,Methane Capture,36.87,574839.0,226263.0,43.12,True,Audited
FRM0002,Farmer 2,Maharashtra,District_40,Soil Carbon Sequestration,2.01,11931.0,9538.0,44.25,True,Verified
FRM0003,Farmer 3,Rajasthan,District_22,Cover Cropping,22.17,81257.0,54208.0,42.79,True,Verified
FRM0004,Farmer 4,Uttar Pradesh,District_44,Methane Capture,49.18,727867.0,593914.0,53.61,True,Verified
FRM0005,Farmer 5,Gujarat,District_14,Tree Plantation,19.89,192424.0,84385.0,44.82,True,Pending
FRM0006,Farmer 6,Madhya Pradesh,District_47,Soil Carbon Sequestration,45.56,205805.0,143552.0,46.23,True,Verified
FRM0007,Farmer 7,Telangana,District_29,Methane Capture,42.27,621335.0,333713.0,58.53,False,Verified
FRM0008,Farmer 8,Tamil Nadu,District_40,Cover Cropping,20.05,72847.0,58077.0,47.14,True,Verified
FRM0009,Farmer 9,Gujarat,District_29,Methane Capture,9.1,110031.0,60961.0,47.9,True,Verified
FRM0010,Farmer 10,Uttar Pradesh,District_17,Soil Carbon Sequestration,39.72,207010.0,177155.0,53.02,False,Audited
FRM0011,Farmer 11,Haryana,District_33,Methane Capture,16.24,226540.0,167133.0,52.75,False,Verified
FRM0012,Farmer 12,Karnataka,District_47,No-Till Farming,42.6,139124.0,61436.0,45.12,True,Pending
FRM0013,Farmer 13,Rajasthan,District_42,Agroforestry,6.29,51084.0,34831.0,46.29,True,Audited
FRM0014,Farmer 14,Tamil Nadu,District_39,Cover Cropping,27.45,96766.0,83772.0,51.98,True,Audited
FRM0015,Farmer 15,Rajasthan,District_45,No-Till Farming,32.04,110391.0,86348.0,43.73,False,Verified
FRM0016,Farmer 16,Rajasthan,District_28,Organic Farming,16.58,111966.0,48902.0,48.54,False,Audited
FRM0017,Farmer 17,Tamil Nadu,District_6,Soil Carbon Sequestration,21.45,95342.0,35460.0,46.75,False,Verified
FRM0018,Farmer 18,Madhya Pradesh,District_41,Agroforestry,18.82,223690.0,196281.0,45.04,True,Verified
FRM0019,Farmer 19,Punjab,District_17,Soil Carbon Sequestration,30.87,154509.0,51125.0,45.57,False,Verified
FRM0020,Farmer 20,Haryana,District_44,Tree Plantation,49.3,530526.0,373109.0,55.23,True,Pending
FRM0021,Farmer 21,Madhya Pradesh,District_5,Agroforestry,49.19,471971.0,372791.0,55.97,True,Verified
FRM0022,Farmer 22,Uttar Pradesh,District_20,Agroforestry,34.2,275874.0,167526.0,44.53,True,Verified
FRM0023,Farmer 23,Punjab,District_40,Methane Capture,46.9,601495.0,303539.0,42.27,False,Audited
FRM0024,Farmer 24,Uttar Pradesh,District_7,Agroforestry,9.57,114191.0,69654.0,45.22,False,Audited
FRM0025,Farmer 25,Karnataka,District_37,Soil Carbon Sequestration,10.25,46702.0,33635.0,56.93,False,Verified
FRM0026,Farmer 26,Punjab,District_24,Agroforestry,5.12,44295.0,37169.0,52.13,True,Verified
FRM0027,Farmer 27,Uttar Pradesh,District_25,Cover Cropping,14.91,55005.0,32528.0,48.97,False,Verified
FRM0028,Farmer 28,Maharashtra,District_33,No-Till Farming,16.94,55846.0,38521.0,56.98,True,Verified
FRM0029,Farmer 29,Uttar Pradesh,District_22,Methane Capture,13.27,206246.0,183010.0,49.73,False,Verified
FRM0030,Farmer 30,Karnataka,District_30,Organic Farming,29.27,233446.0,97381.0,54.45,True,Verified
FRM0031,Farmer 31,Punjab,District_17,Agroforestry,47.08,556313.0,472264.0,47.4,True,Audited
FRM0032,Farmer 32,Punjab,District_46,Cover Cropping,29.04,138489.0,47808.0,46.11,True,Verified
FRM0033,Farmer 33,Uttar Pradesh,District_18,Organic Farming,20.34,185123.0,158837.0,41.41,True,Pending
FRM0034,Farmer 34,Tamil Nadu,District_2,Methane Capture,26.4,455744.0,339284.0,53.94,False,Verified
FRM0035,Farmer 35,Rajasthan,District_26,Soil Carbon Sequestration,13.55,70794.0,24704.0,40.1,True,Verified
FRM0036,Farmer 36,Madhya Pradesh,District_46,No-Till Farming,44.61,125158.0,65752.0,41.88,True,Verified
FRM0037,Farmer 37,Gujarat,District_22,Tree Plantation,43.16,466178.0,150716.0,46.07,True,Verified
FRM0038,Farmer 38,Madhya Pradesh,District_44,Agroforestry,31.52,262934.0,87034.0,50.63,True,Pending
FRM0039,Farmer 39,Maharashtra,District_16,Cover Cropping,48.51,210684.0,68397.0,47.98,True,Pending
FRM0040,Farmer 40,Rajasthan,District_37,Tree Plantation,48.17,655721.0,470535.0,48.18,True,Verified
FRM0041,Farmer 41,Haryana,District_32,No-Till Farming,5.6,14668.0,12626.0,52.77,True,Pending
FRM0042,Farmer 42,Karnataka,District_22,Cover Cropping,21.56,77539.0,39823.0,55.16,True,Verified
FRM0043,Farmer 43,Karnataka,District_47,Organic Farming,16.26,155023.0,62815.0,40.34,False,Audited
FRM0044,Farmer 44,Maharashtra,District_33,No-Till Farming,22.26,64065.0,42892.0,52.7,True,Verified
FRM0045,Farmer 45,Rajasthan,District_19,Tree Plantation,25.55,311441.0,221241.0,52.32,False,Audited
FRM0046,Farmer 46,Maharashtra,District_24,Agroforestry,20.02,211678.0,121705.0,50.91,False,Verified
FRM0047,Farmer 47,Punjab,District_40,Tree Plantation,11.13,121457.0,52075.0,47.55,True,Pending
FRM0048,Farmer 48,Tamil Nadu,District_17,Tree Plantation,16.63,227087.0,71297.0,56.29,True,Verified
FRM0049,Farmer 49,Karnataka,District_45,Soil Carbon Sequestration,44.0,240665.0,188221.0,45.64,True,Pending
FRM0050,Farmer 50,Uttar Pradesh,District_49,Soil Carbon Sequestration,21.22,100660.0,77090.0,46.82,False,Audited
FRM0051,Farmer 51,Punjab,District_13,Methane Capture,37.97,479166.0,403234.0,50.11,False,Verified
FRM0052,Farmer 52,Uttar Pradesh,District_49,Agroforestry,1.53,17793.0,6312.0,46.39,False,Audited
FRM0053,Farmer 53,Uttar Pradesh,District_47,Cover Cropping,5.49,22874.0,14462.0,44.25,False,Pending
FRM0054,Farmer 54,Tamil Nadu,District_45,Cover Cropping,25.23,83048.0,52297.0,48.83,False,Verified
FRM0055,Farmer 55,Haryana,District_47,Agroforestry,34.71,393923.0,323065.0,56.77,True,Verified
FRM0056,Farmer 56,Gujarat,District_27,Tree Plantation,8.18,98727.0,43434.0,51.63,False,Audited
FRM0057,Farmer 57,Punjab,District_7,Organic Farming,30.0,225640.0,163568.0,49.63,True,Pending
FRM0058,Farmer 58,Rajasthan,District_26,Soil Carbon Sequestration,6.45,32148.0,9863.0,49.37,True,Verified
FRM0059,Farmer 59,Gujarat,District_39,Organic Farming,34.37,246097.0,132925.0,49.55,True,Verified
FRM0060,Farmer 60,Karnataka,District_6,Tree Plantation,1.6,22746.0,7413.0,57.82,True,Audited
FRM0061,Farmer 61,Karnataka,District_36,Soil Carbon Sequestration,35.08,145592.0,58198.0,44.34,True,Audited
FRM0062,Farmer 62,Telangana,District_3,Methane Capture,3.23,44162.0,38432.0,57.81,True,Pending
FRM0063,Farmer 63,Madhya Pradesh,District_28,Agroforestry,23.72,223298.0,145187.0,41.55,False,Audited
FRM0064,Farmer 64,Telangana,District_17,Organic Farming,16.17,145569.0,103476.0,43.25,False,Audited
FRM0065,Farmer 65,Haryana,District_5,Methane Capture,46.04,575334.0,475224.0,51.03,True,Verified
FRM0066,Farmer 66,Telangana,District_1,Tree Plantation,49.38,509665.0,334584.0,47.62,False,Audited
FRM0067,Farmer 67,Punjab,District_34,Organic Farming,21.33,155146.0,51792.0,57.29,False,Audited
FRM0068,Farmer 68,Telangana,District_3,Cover Cropping,29.67,129425.0,97618.0,47.56,True,Verified
FRM0069,Farmer 69,Punjab,District_45,Cover Cropping,11.15,51367.0,38741.0,40.94,True,Verified
FRM0070,Farmer 70,Rajasthan,District_34,No-Till Farming,38.84,117471.0,95305.0,51.04,True,Audited
FRM0071,Farmer 71,Gujarat,District_17,Methane Capture,2.41,39845.0,26783.0,54.08,True,Verified
FRM0072,Farmer 72,Haryana,District_38,Tree Plantation,29.91,343403.0,193159.0,58.08,True,Verified
FRM0073,Farmer 73,Madhya Pradesh,District_15,Agroforestry,15.6,157473.0,113158.0,55.93,True,Audited
FRM0074,Farmer 74,Punjab,District_20,Cover Cropping,49.02,195507.0,97216.0,52.67,True,Verified
FRM0075,Farmer 75,Gujarat,District_23,Methane Capture,29.65,427064.0,306889.0,43.6,True,Verified
FRM0076,Farmer 76,Uttar Pradesh,District_27,Cover Cropping,48.68,202670.0,88021.0,56.44,True,Verified
FRM0077,Farmer 77,Telangana,District_21,No-Till Farming,6.91,20408.0,8649.0,47.29,True,Pending
FRM0078,Farmer 78,Gujarat,District_26,Organic Farming,24.58,211377.0,128305.0,43.14,True,Verified
FRM0079,Farmer 79,Maharashtra,District_1,Organic Farming,30.27,289229.0,179887.0,58.48,True,Pending
FRM0080,Farmer 80,Madhya Pradesh,District_2,Cover Cropping,4.05,13934.0,5293.0,53.74,False,Pending
FRM0081,Farmer 81,Haryana,District_38,Soil Carbon Sequestration,20.46,86136.0,63951.0,43.65,True,Audited
FRM0082,Farmer 82,Telangana,District_26,No-Till Farming,6.87,23824.0,15632.0,53.58,False,Verified
FRM0083,Farmer 83,Maharashtra,District_47,No-Till Farming,29.76,98029.0,54798.0,42.55,True,Verified
FRM0084,Farmer 84,Rajasthan,District_34,Soil Carbon Sequestration,18.45,110195.0,73110.0,44.74,True,Verified
FRM0085,Farmer 85,Tamil Nadu,District_48,Agroforestry,42.69,356528.0,279347.0,41.11,False,Verified
FRM0086,Farmer 86,Madhya Pradesh,District_37,Agroforestry,49.87,577764.0,373004.0,58.35,True,Audited
FRM0087,Farmer 87,Madhya Pradesh,District_38,Soil Carbon Sequestration,41.22,224122.0,139184.0,49.53,False,Verified
FRM0088,Farmer 88,Rajasthan,District_4,Soil Carbon Sequestration,10.78,58971.0,36438.0,54.14,False,Verified
FRM0089,Farmer 89,Maharashtra,District_13,Soil Carbon Sequestration,30.1,142629.0,81664.0,50.97,True,Verified
FRM0090,Farmer 90,Madhya Pradesh,District_2,Agroforestry,13.48,144559.0,109306.0,51.91,True,Verified
FRM0091,Farmer 91,Punjab,District_5,No-Till Farming,37.55,108536.0,93315.0,59.82,True,Verified
FRM0092,Farmer 92,Punjab,District_40,No-Till Farming,3.36,11204.0,8927.0,55.01,False,Audited
FRM0093,Farmer 93,Karnataka,District_5,Soil Carbon Sequestration,33.59,169523.0,87355.0,57.54,True,Audited
FRM0094,Farmer 94,Tamil Nadu,District_40,No-Till Farming,45.08,141965.0,88568.0,48.77,True,Verified
FRM0095,Farmer 95,Tamil Nadu,District_2,No-Till Farming,4.26,11406.0,7137.0,48.63,True,Pending
FRM0096,Farmer 96,Rajasthan,District_15,Methane Capture,31.38,477054.0,398977.0,55.77,True,Verified
FRM0097,Farmer 97,Karnataka,District_27,Methane Capture,8.01,105994.0,77210.0,49.88,False,Verified
FRM0098,Farmer 98,Maharashtra,District_45,Agroforestry,20.47,229010.0,89302.0,44.59,False,Pending
FRM0099,Farmer 99,Uttar Pradesh,District_36,Agroforestry,36.09,375225.0,298709.0,59.18,True,Verified
FRM0100,Farmer 100,Tamil Nadu,District_47,Tree Plantation,47.42,490105.0,319420.0,50.12,True,Verified
FRM0101,Farmer 101,Maharashtra,District_48,Agroforestry,39.71,321370.0,222009.0,55.42,True,Verified
FRM0102,Farmer 102,Uttar Pradesh,District_29,No-Till Farming,46.78,164244.0,93702.0,42.26,False,Audited
FRM0103,Farmer 103,Telangana,District_23,Organic Farming,17.28,127778.0,55767.0,52.16,True,Pending
FRM0104,Farmer 104,Rajasthan,District_26,Organic Farming,6.6,50987.0,41713.0,58.46,True,Verified
FRM0105,Farmer 105,Punjab,District_43,Soil Carbon Sequestration,23.17,99205.0,40261.0,49.97,True,Audited
FRM0106,Farmer 106,Punjab,District_29,Methane Capture,14.6,194504.0,83172.0,50.3,False,Verified
FRM0107,Farmer 107,Maharashtra,District_22,Agroforestry,27.22,237830.0,114101.0,46.2,True,Verified
FRM0108,Farmer 108,Madhya Pradesh,District_19,No-Till Farming,11.05,29053.0,9353.0,49.44,True,Verified
FRM0109,Farmer 109,Uttar Pradesh,District_47,Tree Plantation,26.7,312751.0,169029.0,51.19,True,Verified
FRM0110,Farmer 110,Tamil Nadu,District_39,Soil Carbon Sequestration,19.29,87615.0,60139.0,48.17,True,Verified
FRM0111,Farmer 111,Haryana,District_7,Cover Cropping,20.99,85702.0,38766.0,43.92,True,Verified
FRM0112,Farmer 112,Gujarat,District_47,Cover Cropping,9.75,41377.0,18326.0,41.99,True,Pending
FRM0113,Farmer 113,Madhya Pradesh,District_46,Soil Carbon Sequestration,48.17,283663.0,109111.0,48.13,True,Verified
FRM0114,Farmer 114,Rajasthan,District_7,Organic Farming,11.19,72543.0,29660.0,51.66,True,Audited
FRM0115,Farmer 115,Karnataka,District_20,Soil Carbon Sequestration,13.71,65259.0,42691.0,45.36,True,Verified
FRM0116,Farmer 116,Gujarat,District_34,Cover Cropping,15.43,72786.0,55184.0,42.8,False,Verified
FRM0117,Farmer 117,Tamil Nadu,District_32,Organic Farming,24.75,199020.0,148272.0,53.98,True,Verified
FRM0118,Farmer 118,Telangana,District_43,No-Till Farming,49.24,149225.0,60139.0,45.45,True,Audited
FRM0119,Farmer 119,Karnataka,District_42,Agroforestry,25.41,210078.0,114104.0,49.95,False,Verified
FRM0120,Farmer 120,Telangana,District_21,Soil Carbon Sequestration,45.1,259230.0,170690.0,52.01,True,Verified
FRM0121,Farmer 121,Punjab,District_26,Cover Cropping,19.77,79694.0,26154.0,43.33,False,Verified
FRM0122,Farmer 122,Maharashtra,District_26,Cover Cropping,20.08,73515.0,37743.0,54.38,True,Verified
FRM0123,Farmer 123,Haryana,District_47,No-Till Farming,7.62,22697.0,10485.0,50.8,True,Audited
FRM0124,Farmer 124,Punjab,District_45,Soil Carbon Sequestration,17.38,96306.0,35051.0,41.5,False,Verified
FRM0125,Farmer 125,Madhya Pradesh,District_42,Organic Farming,13.07,117940.0,91951.0,53.89,True,Verified
FRM0126,Farmer 126,Uttar Pradesh,District_37,Agroforestry,40.56,480619.0,372003.0,53.81,True,Verified
FRM0127,Farmer 127,Madhya Pradesh,District_19,Methane Capture,40.52,646427.0,462432.0,56.98,True,Verified
FRM0128,Farmer 128,Rajasthan,District_41,Cover Cropping,33.83,110633.0,72239.0,59.99,True,Verified
FRM0129,Farmer 129,Tamil Nadu,District_14,Methane Capture,35.17,484836.0,414359.0,59.42,False,Verified
FRM0130,Farmer 130,Maharashtra,District_39,Soil Carbon Sequestration,16.64,94123.0,30327.0,51.93,True,Verified
FRM0131,Farmer 131,Haryana,District_3,Cover Cropping,26.98,105386.0,57192.0,51.45,False,Verified
FRM0132,Farmer 132,Telangana,District_25,Cover Cropping,31.67,146232.0,97905.0,44.66,True,Audited
FRM0133,Farmer 133,Tamil Nadu,District_13,Cover Cropping,19.81,92971.0,31798.0,40.19,True,Verified
FRM0134,Farmer 134,Karnataka,District_44,Organic Farming,29.46,214135.0,115413.0,41.83,True,Verified
FRM0135,Farmer 135,Punjab,District_30,Organic Farming,6.41,48322.0,22825.0,45.93,True,Verified
FRM0136,Farmer 136,Punjab,District_46,Methane Capture,21.96,314172.0,222367.0,44.37,False,Pending
FRM0137,Farmer 137,Telangana,District_39,Methane Capture,47.29,700128.0,467718.0,43.34,False,Verified
FRM0138,Farmer 138,Maharashtra,District_29,Methane Capture,12.3,208866.0,77740.0,40.94,True,Verified
FRM0139,Farmer 139,Rajasthan,District_3,No-Till Farming,40.24,126980.0,54575.0,50.37,True,Verified
FRM0140,Farmer 140,Rajasthan,District_35,Tree Plantation,25.07,360540.0,302299.0,49.27,True,Pending
FRM0141,Farmer 141,Gujarat,District_9,Agroforestry,29.42,246162.0,203447.0,45.31,True,Audited
FRM0142,Farmer 142,Gujarat,District_34,Agroforestry,2.74,25486.0,21892.0,54.7,True,Verified
FRM0143,Farmer 143,Telangana,District_8,Soil Carbon Sequestration,36.45,181937.0,63428.0,44.4,True,Verified
FRM0144,Farmer 144,Punjab,District_40,Cover Cropping,24.55,101825.0,80931.0,46.96,True,Verified
FRM0145,Farmer 145,Punjab,District_6,Soil Carbon Sequestration,43.54,195519.0,77114.0,43.21,True,Verified
FRM0146,Farmer 146,Karnataka,District_42,Agroforestry,31.31,344772.0,136241.0,57.62,False,Verified
FRM0147,Farmer 147,Tamil Nadu,District_42,Tree Plantation,41.18,440491.0,372312.0,40.02,True,Pending
FRM0148,Farmer 148,Tamil Nadu,District_2,Cover Cropping,31.23,148961.0,101158.0,45.2,True,Verified
FRM0149,Farmer 149,Uttar Pradesh,District_48,No-Till Farming,14.88,36050.0,20165.0,56.8,True,Verified
FRM0150,Farmer 150,Karnataka,District_29,No-Till Farming,46.92,151352.0,51566.0,46.02,False,Verified
FRM0151,Farmer 151,Rajasthan,District_1,No-Till Farming,31.42,77145.0,63484.0,59.47,False,Pending
FRM0152,Farmer 152,Uttar Pradesh,District_12,Methane Capture,4.22,71368.0,37332.0,56.38,True,Verified
FRM0153,Farmer 153,Haryana,District_46,Tree Plantation,49.86,580643.0,331450.0,43.27,False,Pending
FRM0154,Farmer 154,Maharashtra,District_32,Tree Plantation,38.87,416056.0,157603.0,57.36,False,Verified
FRM0155,Farmer 155,Karnataka,District_47,Cover Cropping,32.29,123861.0,57537.0,59.68,True,Audited
FRM0156,Farmer 156,Haryana,District_35,Organic Farming,32.93,249599.0,204325.0,49.46,False,Verified
FRM0157,Farmer 157,Punjab,District_29,Cover Cropping,8.53,33485.0,20701.0,40.36,False,Verified
FRM0158,Farmer 158,Madhya Pradesh,District_3,Agroforestry,40.03,397345.0,147170.0,42.5,True,Verified
FRM0159,Farmer 159,Telangana,District_48,Organic Farming,8.88,75349.0,37340.0,51.81,True,Audited
FRM0160,Farmer 160,Punjab,District_8,Cover Cropping,4.55,17417.0,10241.0,52.0,True,Pending
FRM0161,Farmer 161,Punjab,District_38,Organic Farming,2.94,23347.0,8474.0,44.84,False,Verified
FRM0162,Farmer 162,Telangana,District_22,Agroforestry,35.42,362659.0,110924.0,46.53,True,Verified
FRM0163,Farmer 163,Punjab,District_13,Agroforestry,18.53,172135.0,152594.0,44.02,True,Audited
FRM0164,Farmer 164,Rajasthan,District_44,Organic Farming,47.63,323738.0,271206.0,51.9,True,Pending
FRM0165,Farmer 165,Gujarat,District_12,Tree Plantation,31.64,422723.0,282106.0,49.69,True,Verified
FRM0166,Farmer 166,Telangana,District_22,Tree Plantation,24.56,240622.0,95864.0,48.77,False,Verified
FRM0167,Farmer 167,Gujarat,District_45,Soil Carbon Sequestration,11.74,69882.0,35090.0,43.64,False,Pending
FRM0168,Farmer 168,Uttar Pradesh,District_44,Tree Plantation,2.02,25754.0,12861.0,50.85,True,Verified
FRM0169,Farmer 169,Uttar Pradesh,District_35,Cover Cropping,4.54,14743.0,6702.0,49.25,False,Pending
FRM0170,Farmer 170,Madhya Pradesh,District_20,Cover Cropping,17.95,68099.0,60785.0,40.8,False,Verified
FRM0171,Farmer 171,Maharashtra,District_34,Agroforestry,43.8,508177.0,281038.0,45.54,True,Audited
FRM0172,Farmer 172,Uttar Pradesh,District_45,Tree Plantation,31.95,419104.0,158815.0,54.32,False,Verified
FRM0173,Farmer 173,Haryana,District_37,Cover Cropping,4.39,17109.0,6132.0,48.1,True,Verified
FRM0174,Farmer 174,Maharashtra,District_2,Methane Capture,9.01,129300.0,113997.0,45.16,True,Verified
FRM0175,Farmer 175,Madhya Pradesh,District_12,Agroforestry,48.52,476244.0,210324.0,41.47,True,Verified
FRM0176,Farmer 176,Rajasthan,District_12,No-Till Farming,8.14,23932.0,15621.0,58.97,True,Verified
FRM0177,Farmer 177,Gujarat,District_43,Cover Cropping,18.48,74910.0,57612.0,54.11,True,Audited
FRM0178,Farmer 178,Telangana,District_44,Soil Carbon Sequestration,6.48,29434.0,9839.0,50.62,False,Verified
FRM0179,Farmer 179,Tamil Nadu,District_35,No-Till Farming,9.82,24613.0,8909.0,51.69,True,Verified
FRM0180,Farmer 180,Haryana,District_24,Soil Carbon Sequestration,1.24,7333.0,5012.0,57.36,True,Verified
FRM0181,Farmer 181,Haryana,District_23,Agroforestry,27.08,230260.0,87413.0,42.87,False,Pending
FRM0182,Farmer 182,Madhya Pradesh,District_21,Organic Farming,36.81,253983.0,111940.0,59.27,True,Pending
FRM0183,Farmer 183,Tamil Nadu,District_26,Soil Carbon Sequestration,34.48,172201.0,115497.0,57.38,True,Verified
FRM0184,Farmer 184,Madhya Pradesh,District_25,No-Till Farming,46.02,143601.0,124147.0,56.54,True,Verified
FRM0185,Farmer 185,Haryana,District_6,Methane Capture,48.88,705920.0,580585.0,55.65,True,Pending
FRM0186,Farmer 186,Maharashtra,District_34,Cover Cropping,38.49,180195.0,101432.0,58.03,False,Verified
FRM0187,Farmer 187,Punjab,District_24,No-Till Farming,27.68,66623.0,32962.0,47.33,True,Pending
FRM0188,Farmer 188,Gujarat,District_33,Organic Farming,27.74,216976.0,67002.0,51.74,True,Pending
FRM0189,Farmer 189,Haryana,District_46,Organic Farming,19.61,179675.0,109862.0,49.58,True,Verified
FRM0190,Farmer 190,Karnataka,District_34,Cover Cropping,13.06,51743.0,27766.0,50.99,False,Pending
FRM0191,Farmer 191,Karnataka,District_23,Soil Carbon Sequestration,1.37,7257.0,6087.0,44.87,False,Verified
FRM0192,Farmer 192,Karnataka,District_13,No-Till Farming,10.53,27382.0,18358.0,50.46,True,Audited
FRM0193,Farmer 193,Uttar Pradesh,District_8,Tree Plantation,30.91,402942.0,186794.0,48.27,True,Verified
FRM0194,Farmer 194,Rajasthan,District_39,Cover Cropping,10.04,36889.0,28627.0,43.7,False,Verified
FRM0195,Farmer 195,Telangana,District_7,No-Till Farming,27.96,68563.0,46616.0,59.03,True,Audited
FRM0196,Farmer 196,Telangana,District_28,Organic Farming,39.89,337863.0,136789.0,47.22,False,Pending
FRM0197,Farmer 197,Punjab,District_26,Soil Carbon Sequestration,39.25,178553.0,141694.0,48.47,True,Verified
FRM0198,Farmer 198,Maharashtra,District_10,Organic Farming,21.77,150008.0,66175.0,57.39,True,Verified
FRM0199,Farmer 199,Telangana,District_48,Cover Cropping,32.46,135388.0,85026.0,44.64,True,Verified
FRM0200,Farmer 200,Gujarat,District_2,Soil Carbon Sequestration,30.26,161917.0,91585.0,48.92,False,Verified
